model,prob_base,prob_abl_ref,prob_abl_forget,tr_base,tr_abl_ref
full,0.9002152338624001,0.8394798204302788,0.8961833894252778,0.5869065924573696,0.5887094223049426
retain90,0.12369339186698199,0.11881392584182322,0.12407349962741136,0.9777926512094769,0.9834423743316
GradDiff,0.10292145559433266,0.1156316470267484,0.10887886128912214,0.8869350945848206,1.24588290513801
NPO,0.041675183190091045,0.17833056058734656,0.04519267012074124,0.8174453648157789,0.7470955341205242
RMU,0.8564303383231163,0.7722769439220428,0.8503724932670593,0.5758664834269044,0.575237985622589
